fold,epoch,training_loss,expresssion_loss,splice_loss,validation_mse,validation_r2
1,1,0.14255914888626925,0.14255914888626925,0.5,0.29323864326795956,0.48118093778373094
1,2,0.12437870382387756,0.12437870382387756,0.5,0.2874962979960787,0.491340711255868
1,3,0.12260092706701746,0.12260092706701746,0.5,0.27957605491340703,0.5053537793934177
1,4,0.120401665497797,0.120401665497797,0.5,0.28110231499224375,0.5026534094354358
1,5,0.11829502889745389,0.11829502889745389,0.5,0.2816914075745184,0.5016111441402202
1,6,0.11432327528371278,0.11432327528371278,0.5,0.28145084161643963,0.502036770869974
2,1,0.14436370513232594,0.14436370513232594,0.5,0.26116417412227116,0.5759293897115696
2,2,0.12647665938306035,0.12647665938306035,0.5,0.25514005001436774,0.5857111830814972
2,3,0.1237157593961015,0.1237157593961015,0.5,0.2531057179128234,0.5890144709797346
2,4,0.12309089145679591,0.12309089145679591,0.5,0.24959793232954963,0.5947103087724152
2,5,0.12119676181905423,0.12119676181905423,0.5,0.26002092378004,0.5777857655792468
2,6,0.11971921323459934,0.11971921323459934,0.5,0.24232548155777114,0.6065190978126638
2,7,0.11768525961969951,0.11768525961969951,0.5,0.2501070368712935,0.5938836399751213
2,8,0.11380998632927058,0.11380998632927058,0.5,0.25242113440413894,0.5901260772990045
2,9,0.10837486124893819,0.10837486124893819,0.5,0.27099174575209917,0.5599716714957348
3,1,0.14655158481080877,0.14655158481080877,0.5,0.29364443780670824,0.5262280795536021
3,2,0.1257739860677358,0.1257739860677358,0.5,0.29165062404147046,0.529444939316466
3,3,0.12151640506150822,0.12151640506150822,0.5,0.2876240763976116,0.5359414533463202
3,4,0.12000528594415466,0.12000528594415466,0.5,0.2895941760816254,0.5327628543653973
3,5,0.11795381985774095,0.11795381985774095,0.5,0.28474076380755536,0.5405934486411788
3,6,0.11574232278067167,0.11574232278067167,0.5,0.2851819322926562,0.5398816584162802
3,7,0.11194947989883297,0.11194947989883297,0.5,0.2854259833420259,0.539487901479454
3,8,0.10765705482018265,0.10765705482018265,0.5,0.2901959418389939,0.5317919532284413
4,1,0.14759155903999327,0.14759155903999327,0.5,0.2767420977421854,0.5111991062854226
4,2,0.1271348248630988,0.1271348248630988,0.5,0.2683865897611274,0.5259571781577594
4,3,0.1256263618794919,0.1256263618794919,0.5,0.2609033124424954,0.5391746563481177
4,4,0.12315586547959935,0.12315586547959935,0.5,0.270538797678163,0.5221558007674403
4,5,0.12160752004252351,0.12160752004252351,0.5,0.27081986665788865,0.5216593574376897
4,6,0.12088933466425673,0.12088933466425673,0.5,0.28288967613161575,0.5003408312508328
5,1,0.14181934994165646,0.14181934994165646,0.5,0.2735373410176976,0.5249689048661454
5,2,0.12589829161659122,0.12589829161659122,0.5,0.261583489945977,0.5457282313425222
5,3,0.12382420053649129,0.12382420053649129,0.5,0.262975974205623,0.5433100118761953
5,4,0.12234657551655828,0.12234657551655828,0.5,0.2542258361674412,0.5585056982837086
5,5,0.12019686052349932,0.12019686052349932,0.5,0.2634273954200597,0.5425260636479108
5,6,0.11760892054051951,0.11760892054051951,0.5,0.2557844340929968,0.5557990020911688
5,7,0.11389653371985663,0.11389653371985663,0.5,0.26489817349372513,0.5399718773842264
6,1,0.14720013934526255,0.14720013934526255,0.5,0.2742086367812298,0.5284557796529861
6,2,0.12588265011877273,0.12588265011877273,0.5,0.27153992367757146,0.533045045164701
6,3,0.12378479685690819,0.12378479685690819,0.5,0.2664888979929321,0.5417310661317074
6,4,0.12239131415051153,0.12239131415051153,0.5,0.26061890319003483,0.5518254313393998
6,5,0.12076827827276605,0.12076827827276605,0.5,0.2615877353904608,0.5501593743181491
6,6,0.11844871213278649,0.11844871213278649,0.5,0.26629332848810755,0.5420673781850354
6,7,0.11491231895122452,0.11491231895122452,0.5,0.26259722767349913,0.5484233959874176
7,1,0.14811991614458914,0.14811991614458914,0.5,0.26962873859574515,0.5650781336285143
7,2,0.12724857884247534,0.12724857884247534,0.5,0.2575996647744043,0.5844815075579598
7,3,0.12460349819792266,0.12460349819792266,0.5,0.2635127197150994,0.5749435150421842
7,4,0.12329198726255333,0.12329198726255333,0.5,0.2549733805362931,0.5887178083633198
7,5,0.1226418492116147,0.1226418492116147,0.5,0.259415520031183,0.5815524608938252
7,6,0.11955867672804743,0.11955867672804743,0.5,0.2588780810255896,0.5824193713596416
7,7,0.11758506303004017,0.11758506303004017,0.5,0.2794426617967568,0.5492478856466407
8,1,0.14532532181703683,0.14532532181703683,0.5,0.29126256489295105,0.48870773470993534
8,2,0.1266818396591892,0.1266818396591892,0.5,0.2855275440870408,0.4987751863250004
8,3,0.12350361289766927,0.12350361289766927,0.5,0.30319698054047584,0.4677576534196095
8,4,0.11967639988429393,0.11967639988429393,0.5,0.283529541300571,0.5022825487322684
8,5,0.11807513324134616,0.11807513324134616,0.5,0.2901574486276904,0.49064769358821314
8,6,0.1131170965611201,0.1131170965611201,0.5,0.29549648198367257,0.4812753718823919
8,7,0.1071662204692874,0.1071662204692874,0.5,0.2984413258520613,0.4761058922654442
9,1,0.14913846175609666,0.14913846175609666,0.5,0.2754124234682347,0.5068066730442613
9,2,0.12613774396507352,0.12613774396507352,0.5,0.2739349261733535,0.509452493437017
9,3,0.12325262427188907,0.12325262427188907,0.5,0.2823906497867316,0.49431045151972086
9,4,0.12144286371767521,0.12144286371767521,0.5,0.26252037181814797,0.529893045708655
9,5,0.11938634437903987,0.11938634437903987,0.5,0.26683011126157297,0.5221754028091499
9,6,0.1175348530523479,0.1175348530523479,0.5,0.2739779943336413,0.5093753693589138
9,7,0.11172904226237512,0.11172904226237512,0.5,0.2755072307395722,0.5066368974292701
10,1,0.14891565382960392,0.14891565382960392,0.5,0.25547100447485155,0.546676289780364
10,2,0.1276018069527874,0.1276018069527874,0.5,0.25331634034330347,0.5504996604223606
10,3,0.1251191031399437,0.1251191031399437,0.5,0.2524752869019889,0.5519920781912322
10,4,0.12483679350451425,0.12483679350451425,0.5,0.25902185468279343,0.5403754393413591
10,5,0.12296209671308822,0.12296209671308822,0.5,0.2552464544675406,0.547074745341508
10,6,0.12184840486610704,0.12184840486610704,0.5,0.2498677874879816,0.5566189880481184
10,7,0.11968526593056705,0.11968526593056705,0.5,0.26390051230937156,0.531718444467448
10,8,0.11695852991419309,0.11695852991419309,0.5,0.25306421829881615,0.550947041528761
10,9,0.11293494995951539,0.11293494995951539,0.5,0.2588056614565581,0.5407590661080948
11,1,0.14581356017681008,0.14581356017681008,0.5,0.2678402241794171,0.5165199733988804
11,2,0.12695052360085715,0.12695052360085715,0.5,0.26221349292598667,0.5266768203938397
11,3,0.12478212492230038,0.12478212492230038,0.5,0.2642659357385257,0.5229719433215335
11,4,0.12400625831673318,0.12400625831673318,0.5,0.25921740226386547,0.5320850819701568
11,5,0.12222657342102718,0.12222657342102718,0.5,0.26148900870094394,0.5279845912989338
11,6,0.11903276272597864,0.11903276272597864,0.5,0.2622622083622703,0.5265888838618924
11,7,0.11644596701741895,0.11644596701741895,0.5,0.26205111089448885,0.5269699371919181
12,1,0.14410646079164563,0.14410646079164563,0.5,0.2805369125125545,0.514075382023999
12,2,0.12572987869410127,0.12572987869410127,0.5,0.27369444764487044,0.5259273771752424
12,3,0.12317518333932667,0.12317518333932667,0.5,0.2749179000435011,0.5238082063535068
12,4,0.12293632041705264,0.12293632041705264,0.5,0.27154106832116776,0.529657296407104
12,5,0.12267084197832667,0.12267084197832667,0.5,0.2699539001488471,0.5324064679185857
12,6,0.12063704916473592,0.12063704916473592,0.5,0.2786882690123653,0.5172774611320845
12,7,0.12012531436895105,0.12012531436895105,0.5,0.2791276682378698,0.5165163673463151
12,8,0.11831352540122514,0.11831352540122514,0.5,0.27440777059346694,0.5246918136332264
