fold,epoch,training_loss,validation_mse,validation_r21	1	0.2333226888168157	0.15252238280383495	3.300973553621333e-06
1	2	0.22364045909935384	0.15220818163290245	0.0005075819320367325
1	3	0.22410718702340193	0.15287898192438432	0.0001778477420802439
1	4	0.22314101750223087	0.1524051320553019	7.446246852628176e-05
1	5	0.22330702243575146	0.152144717282358	0.002131249533088663
1	6	0.22299045168672763	0.15229221214863548	0.0018312879323484415
1	7	0.2231990364808226	0.1522850084111453	0.004191088084970674
1	8	0.22313982248306274	0.15279092986591672	0.0009531580907012278
1	9	0.2230842152096767	0.15254733187634634	0.0001013036911664076
1	10	0.22290163823406012	0.15212094248710292	0.0025949853878155546
2	1	0.23594471544525417	0.15480737721146962	1.8774255714061823e-05
2	2	0.22635051491864877	0.1538971459494475	5.1782950575779616e-05
2	3	0.2251281709018524	0.1537421036962206	0.0009927685638186747
2	4	0.22547907463189287	0.15443330438080996	0.0001852648227810296
