fold,epoch,training_loss,train_expr_loss,train_splice_loss,val_mse,val_r2,val_loss,val_expr,val_splice
1,1,0.5857050347190372,0.0,0.0,0.0,0.5,0.6916115880012512,0.0,0.6916114930753354
1,2,0.5799517881663548,0.0,0.0,0.0,0.5,0.6770579218864441,0.0,0.6770578882208577
1,3,0.5719834502721798,0.0,0.0,0.0,0.5,0.676959216594696,0.0,0.6769592281844881
1,4,0.5686636918197477,0.0,0.0,0.0,0.5,0.6581263542175293,0.0,0.6581264957785606
1,5,0.5606358201173,0.0,0.0,0.0,0.5,0.6506776213645935,0.0,0.6506775896306392
1,6,0.5519987596941821,0.0,0.0,0.0,0.5,0.6745708584785461,0.0,0.6745709042858195
1,7,0.5410826764871619,0.0,0.0,0.0,0.5,0.6427076458930969,0.0,0.6427073649786137
1,8,0.529530705158421,0.0,0.0,0.0,0.5,0.6369579434394836,0.0,0.6369577999468203
1,9,0.5148756193976871,0.0,0.0,0.0,0.5,0.6529425382614136,0.0,0.652942450510131
1,10,0.5026560691739782,0.0,0.0,0.0,0.5,0.6284698247909546,0.0,0.628469881636125
1,11,0.4875349303718247,0.0,0.0,0.0,0.5,0.6733277440071106,0.0,0.673327564365334
1,12,0.472674804202394,0.0,0.0,0.0,0.5,0.6914040446281433,0.0,0.6914041479704557
1,13,0.45476256795012193,0.0,0.0,0.0,0.5,0.6510486006736755,0.0,0.6510485623169828
1,14,0.4293272254956251,0.0,0.0,0.0,0.5,0.7808857560157776,0.0,0.7808856588822825
1,15,0.4066626209830273,0.0,0.0,0.0,0.5,0.695011556148529,0.0,0.6950117393776223
1,16,0.37457136423946114,0.0,0.0,0.0,0.5,0.7751022577285767,0.0,0.7751021616988711
1,17,0.3434077705649627,0.0,0.0,0.0,0.5,0.766321063041687,0.0,0.76632102192552
1,18,0.3000814002287181,0.0,0.0,0.0,0.5,0.8279525637626648,0.0,0.8279526257128628
1,19,0.25369205009730567,0.0,0.0,0.0,0.5,0.918277382850647,0.0,0.9182775137187155
1,20,0.21352213942634232,0.0,0.0,0.0,0.5,1.0100269317626953,0.0,1.0100269345221695
1,21,0.18188379938159718,0.0,0.0,0.0,0.5,1.0195982456207275,0.0,1.019598424848583
1,22,0.15483755962977003,0.0,0.0,0.0,0.5,1.1626741886138916,0.0,1.1626742795385696
1,23,0.13064419901364543,0.0,0.0,0.0,0.5,1.377923846244812,0.0,1.3779240701071642
1,24,0.1126176945773637,0.0,0.0,0.0,0.5,1.4058042764663696,0.0,1.405804218068995
1,25,0.10213623948535219,0.0,0.0,0.0,0.5,1.7197679281234741,0.0,1.7197679711022862
1,26,0.09255519586216895,0.0,0.0,0.0,0.5,1.6011757850646973,0.0,1.6011761198579162
1,27,0.08228613091996101,0.0,0.0,0.0,0.5,1.5543829202651978,0.0,1.554382594888685
1,28,0.07361070821129022,0.0,0.0,0.0,0.5,1.509874939918518,0.0,1.5098752259380288
1,29,0.06563762259384283,0.0,0.0,0.0,0.5,1.6292297840118408,0.0,1.629229901789653
1,30,0.06013720119217238,0.0,0.0,0.0,0.5,1.671014428138733,0.0,1.6710146098156218
