fold,epoch,training_loss,expresssion_loss,splice_loss,validation_mse,validation_r2
1,1,0.4670292194724083,0.2750903257548809,0.1919388936884701,0.583558929556524,0.35661193194769336
1,2,0.46599570399522783,0.27419040369987485,0.1918053004433401,0.597988228182534,0.34145903840187
1,3,0.4663748232662678,0.2740256437331438,0.19234917937302962,0.601815232946863,0.4167932319660219
1,4,0.4662838395357132,0.27372572390139105,0.19255811560051517,0.5713343297873609,0.42783759301863367
1,5,0.4661702441751957,0.2737196991980076,0.1924505447248928,0.5770521099577267,0.43835085333367696
1,6,0.46662338129282,0.27401770567595957,0.19260567662781106,0.5829952873272117,0.4531009617870201
1,7,0.4661429532170296,0.2735106818199158,0.1926322714676149,0.5812905490782858,0.4752048419010888
1,8,0.46567770656347274,0.27340575339198114,0.19227195295207203,0.5988102007427641,0.46495445670574764
1,9,0.4659315252542496,0.2735745818436146,0.1923569434484467,0.5801637547590269,0.4583920324919324
1,10,0.46555277848243715,0.2730856511294842,0.19246712734578178,0.5796722488137518,0.4865261398183095
1,11,0.4662020323872566,0.27363778834939,0.19256424415614457,0.5975775402661426,0.46898244802767247
1,12,0.4656867592275143,0.2732709325015545,0.19241582692107187,0.5867332118610785,0.48367305782628467
1,13,0.46572534430027007,0.2732411740362644,0.1924841700567864,0.5774493574227482,0.5025128214344918
1,14,0.46547064739465716,0.2731829822003841,0.19228766504088415,0.586594909232598,0.4548489792004153
1,15,0.4650418672680855,0.27292148704528807,0.19212038036985324,0.5991144776211675,0.4797875787695093
1,16,0.46500969523191454,0.27302233638167384,0.19198735903510825,0.5759314130702327,0.45803380863037607
