fold,epoch,training_loss,expresssion_loss,splice_loss,validation_mse,validation_r2
1,1,0.9587676613168283,0.7727104153935657,0.18605724511893862,0.6764679888376154,0.21111070533044018
1,2,0.9104301670114651,0.7449645196849649,0.16546564695961546,0.6832085697865155,0.21523975741287238
1,3,0.9113934044020645,0.74503899074978,0.16635441337006562,0.6598430673391702,0.24479199873188012
1,4,0.906428669607549,0.7442261198761336,0.16220254956208396,0.6837836171175232,0.2147214080297365
1,5,0.9043831086971543,0.7462497170958103,0.1581333939296504,0.672852718171461,0.24780304402448644
1,6,0.8922700971703638,0.7437284353302058,0.14854166062661645,0.6838474075445248,0.2373658694701138
1,7,0.8708853366587198,0.7467761323081724,0.12410920545120131,0.6721024537993087,0.2520079904041247
1,8,0.8494171343856689,0.7435579006983475,0.10585923316521627,0.6558779372983005,0.24803240116834546
1,9,0.8366656880261321,0.7432589263119029,0.09340676055713133,0.6675945694974502,0.23507114739498966
1,10,0.835538492227594,0.7465661219462301,0.08897237175595805,0.7062619399686706,0.19359419240793652
