fold,epoch,training_loss,expresssion_loss,splice_loss,validation_mse,validation_r2
1,1,0.7291897711634636,0.3987929407596588,0.3303968294039369,0.9509077359650054,0.47936343676612836
1,2,0.727998362493515,0.397986493819952,0.33001186895295975,0.9446337744686022,0.44391762632170645
1,3,0.7279656396925449,0.3980322796225548,0.3299333600975573,0.9493177396379171,0.4593131584681941
1,4,0.7277866754293442,0.39789936920404434,0.32988730670139194,0.9698947629571001,0.44672925800644536
1,1,0.7292881065964699,0.39861095805466173,0.3306771496370435,0.942644167331722,0.21364473548614965
1,2,0.7283803793549538,0.3981535571873188,0.330226821539551,0.9492436584788739,0.24622002963060355
1,3,0.7279244251072406,0.3978314998745918,0.3300929244115949,0.9524086114871254,0.24587707097631784
1,4,0.7278595282912255,0.3978948751091957,0.3299646531522274,0.9593927017439854,0.23386274181387082
1,5,0.7277483789086342,0.3978909297823906,0.32985744800940153,0.9444946855295786,0.27098330616091204
1,6,0.7275290694832802,0.39771491155028343,0.32981415872350334,0.9547851891993283,0.2560477542695419
1,7,0.7276356556773186,0.39780072422623636,0.32983493106216194,0.9496118576844039,0.24817618781526715
1,8,0.7275967937111855,0.39777365951538085,0.32982313477694986,0.9506532617646505,0.2538190541480363
