fold,epoch,training_loss,expresssion_loss,splice_loss,validation_mse,validation_r2
1,1,0.6968817886680364,0.2763735501140356,0.42050823930706827,0.6161483767483001,0.3895435885059349
1,2,0.7059349566876888,0.27379012585282325,0.43214483060201164,0.6337865098600263,0.47638841188617165
1,3,0.720084736430645,0.27398351391553877,0.4461012224688777,0.5811805407362776,0.4373785772640112
1,4,0.7206560501039028,0.273443519616127,0.4472125298495919,0.6170984450386688,0.463947831697256
1,5,0.7175788926959038,0.27349139498770236,0.4440874965419178,0.5932436410222257,0.469463750481646
2,1,0.7619714659986924,0.2769273371790633,0.48504412942694136,0.6084689999718826,0.4305452302607137
2,2,0.7539140438978628,0.2743419679023439,0.4795720761846123,0.6083277754148481,0.465876916574315
1,1,1.1863696826457977,0.27810358464419843,0.9082660973072052,0.5796075475998997,0.3629042566878571
1,2,1.1924295973300933,0.2743671544343233,0.9180624419689178,0.5828466396565237,0.44422918125800825
1,3,1.178781723356247,0.27376452409923074,0.9050171980381012,0.5791023020893831,0.44911229621274973
1,4,1.1845945148468018,0.27366134414076804,0.9109331711769104,0.58696878817028,0.46037850429809773
1,5,1.1980794651031494,0.27314703731238843,0.9249324276924134,0.5883000525856292,0.44918471910904295
1,6,1.2016462752819062,0.2733446704566479,0.9283016050815582,0.5760923252691671,0.4715831949223854
1,7,1.2032454355239868,0.27352707716226576,0.9297183588027954,0.5847760341032328,0.4404067042698983
1,8,1.2018041157722472,0.2734849388062954,0.928319179201126,0.5809523095753656,0.44997662457899557
